id,name,variant,course,category,ingredients,description,price,calories,country_origin,availability
54,Spaghetti bolognaise,Chef's Special,Plat,Végétarien,"poisson, citron, beurre",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,30.16,423,Grèce,Disponible
55,Tajine d'agneau,Chef's Special,Plat,Sans gluten,"semoule, agneau, pois chiches, légumes",Recette maison inspirée des saveurs de Maroc.,42.3,524,Maroc,Disponible
56,Burger maison,Classique,Plat,Classique,"riz, fruits de mer, poivrons",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,53.14,756,Suisse,Non disponible
57,Tajine d'agneau,Classique,Plat,Épicé,"pâtes, champignons, crème",Recette maison inspirée des saveurs de Italie.,29.67,637,Italie,Non disponible
58,Paella valenciana,Épicée,Plat,Sans gluten,"pâtes, champignons, crème",Version moderne du classique Paella valenciana.,40.61,481,Espagne,Non disponible
59,Ratatouille provençale,Traditionnelle,Plat,Sans gluten,"pâtes, champignons, crème",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,51.8,666,Tunisie,Épuisé
60,Burger maison,Signature,Plat,Vegan,"pâtes, viande hachée, sauce tomate, fromage",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,34.51,563,Maroc,Non disponible
61,Poulet rôti,Maison,Plat,Végétarien,"riz, fruits de mer, poivrons",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,27.25,608,Italie,Épuisé
62,Paella valenciana,Traditionnelle,Plat,Sans gluten,"poulet, herbes, légumes",Recette maison inspirée des saveurs de France.,56.67,699,France,Non disponible
63,Steak frites,Légère,Plat,Sans gluten,"poisson, citron, beurre",Recette maison inspirée des saveurs de France.,54.87,888,France,Épuisé
64,Paella valenciana,Signature,Plat,Sans gluten,"poisson, citron, beurre",Recette maison inspirée des saveurs de Italie.,26.02,572,Italie,Non disponible
65,Burger maison,Légère,Plat,Gourmet,"pâtes, champignons, crème",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,59.33,673,Italie,Disponible
66,Risotto aux champignons,Classique,Plat,Classique,"riz, fruits de mer, poivrons",Recette maison inspirée des saveurs de Grèce.,31.36,533,Grèce,Épuisé
67,Spaghetti bolognaise,Signature,Plat,Sans gluten,"poisson, citron, beurre",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,51.32,825,Tunisie,Épuisé
68,Pizza Margherita,Chef's Special,Plat,Sans gluten,"semoule, agneau, pois chiches, légumes",Une spécialité france mettant en valeur des ingrédients frais et de qualité.,32.85,435,France,Non disponible
69,Steak frites,Classique,Plat,Végétarien,"pâtes, champignons, crème",Version raffinée du classique Steak frites.,30.33,464,Italie,Épuisé
70,Burger maison,Chef's Special,Plat,Épicé,"riz, fruits de mer, poivrons",Une spécialité italie mettant en valeur des ingrédients frais et de qualité.,30.87,710,Italie,Non disponible
71,Magret de canard,Chef's Special,Plat,Végétarien,"pâtes, viande hachée, sauce tomate, fromage",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,45.15,864,Tunisie,Épuisé
72,Risotto aux champignons,Signature,Plat,Classique,"semoule, agneau, pois chiches, légumes",Risotto aux champignons plat préparé(e) selon une recette traditionnelle de Espagne.,49.4,554,Espagne,Non disponible
73,Filet de dorade,Chef's Special,Plat,Épicé,"pâtes, viande hachée, sauce tomate, fromage",Version équilibrée du classique Filet de dorade.,39.99,589,Suisse,Disponible
74,Paella valenciana,Épicée,Plat,Classique,"riz, fruits de mer, poivrons",Paella valenciana plat préparé(e) selon une recette traditionnelle de Suisse.,40.17,585,Suisse,Non disponible
75,Ratatouille provençale,Traditionnelle,Plat,Gourmet,"riz, fruits de mer, poivrons",Version gourmande du classique Ratatouille provençale.,58.79,538,Italie,Non disponible
76,Sushi mixte,Traditionnelle,Plat,Sans gluten,"pâtes, champignons, crème",Une spécialité maroc mettant en valeur des ingrédients frais et de qualité.,54.81,825,Maroc,Disponible
77,Pizza Margherita,Traditionnelle,Plat,Végétarien,"riz, fruits de mer, poivrons",Une spécialité suisse mettant en valeur des ingrédients frais et de qualité.,26.0,835,Suisse,Épuisé
78,Lasagnes,Traditionnelle,Plat,Végétarien,"pâtes, champignons, crème",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,34.79,705,Tunisie,Non disponible
79,Pizza Margherita,Classique,Plat,Épicé,"pâtes, viande hachée, sauce tomate, fromage",Recette maison inspirée des saveurs de Italie.,42.1,788,Italie,Disponible
80,Magret de canard,Traditionnelle,Plat,Gourmet,"riz, fruits de mer, poivrons",Magret de canard plat préparé(e) selon une recette traditionnelle de Grèce.,28.26,513,Grèce,Épuisé
81,Magret de canard,Signature,Plat,Vegan,"boeuf, frites, sauce",Recette maison inspirée des saveurs de Grèce.,44.37,576,Grèce,Épuisé
82,Magret de canard,Épicée,Plat,Vegan,"riz, fruits de mer, poivrons",Une spécialité grèce mettant en valeur des ingrédients frais et de qualité.,33.8,461,Grèce,Non disponible
83,Couscous royal,Épicée,Plat,Classique,"boeuf, frites, sauce",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,32.57,647,Grèce,Épuisé
84,Magret de canard,Végétarienne,Plat,Classique,"poulet, herbes, légumes",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,37.63,554,Suisse,Disponible
85,Magret de canard,Maison,Plat,Vegan,"pâtes, viande hachée, sauce tomate, fromage",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,47.33,785,France,Épuisé
86,Poulet rôti,Classique,Plat,Épicé,"riz, fruits de mer, poivrons",Recette maison inspirée des saveurs de Tunisie.,36.92,894,Tunisie,Disponible
87,Pizza Margherita,Traditionnelle,Plat,Classique,"pâtes, viande hachée, sauce tomate, fromage",Recette maison inspirée des saveurs de Suisse.,27.59,722,Suisse,Non disponible
88,Steak frites,Maison,Plat,Végétarien,"boeuf, frites, sauce",Steak frites plat préparé(e) selon une recette traditionnelle de Suisse.,59.79,460,Suisse,Non disponible
89,Sushi mixte,Légère,Plat,Épicé,"pâtes, champignons, crème",Version gourmande du classique Sushi mixte.,38.31,865,Espagne,Épuisé
90,Pizza Margherita,Légère,Plat,Vegan,"boeuf, frites, sauce",Version raffinée du classique Pizza Margherita.,58.6,450,Espagne,Disponible
91,Burger maison,Signature,Plat,Vegan,"pâtes, viande hachée, sauce tomate, fromage",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,31.08,438,Grèce,Disponible
92,Steak frites,Légère,Plat,Sans gluten,"boeuf, frites, sauce",Une spécialité grèce mettant en valeur des ingrédients frais et de qualité.,26.14,547,Grèce,Non disponible
93,Pizza Margherita,Traditionnelle,Plat,Classique,"poulet, herbes, légumes",Version équilibrée du classique Pizza Margherita.,48.14,878,Grèce,Disponible
94,Risotto aux champignons,Chef's Special,Plat,Épicé,"semoule, agneau, pois chiches, légumes",Une spécialité italie mettant en valeur des ingrédients frais et de qualité.,53.93,436,Italie,Disponible
95,Lasagnes,Végétarienne,Plat,Épicé,"pâtes, champignons, crème",Recette maison inspirée des saveurs de Grèce.,29.35,752,Grèce,Épuisé
96,Magret de canard,Légère,Plat,Vegan,"boeuf, frites, sauce",Recette maison inspirée des saveurs de Espagne.,27.82,420,Espagne,Épuisé
97,Magret de canard,Épicée,Plat,Épicé,"pâtes, viande hachée, sauce tomate, fromage",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,58.67,828,Tunisie,Non disponible
98,Filet de dorade,Classique,Plat,Gourmet,"poisson, citron, beurre",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,41.47,733,Suisse,Épuisé
99,Pizza Margherita,Maison,Plat,Épicé,"semoule, agneau, pois chiches, légumes",Pizza Margherita plat préparé(e) selon une recette traditionnelle de Maroc.,41.45,609,Maroc,Épuisé
100,Spaghetti bolognaise,Chef's Special,Plat,Végétarien,"riz, fruits de mer, poivrons",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,48.19,605,Tunisie,Non disponible
101,Steak frites,Traditionnelle,Plat,Classique,"poisson, citron, beurre",Steak frites plat préparé(e) selon une recette traditionnelle de Tunisie.,58.96,606,Tunisie,Non disponible
102,Ratatouille provençale,Classique,Plat,Gourmet,"boeuf, frites, sauce",Recette maison inspirée des saveurs de Suisse.,26.9,665,Suisse,Épuisé
103,Filet de dorade,Traditionnelle,Plat,Gourmet,"pâtes, champignons, crème",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,34.35,467,Maroc,Épuisé
104,Tajine d'agneau,Traditionnelle,Plat,Classique,"semoule, agneau, pois chiches, légumes",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,35.88,407,France,Non disponible
105,Risotto aux champignons,Chef's Special,Plat,Végétarien,"pâtes, viande hachée, sauce tomate, fromage",Risotto aux champignons plat préparé(e) selon une recette traditionnelle de Suisse.,47.67,478,Suisse,Épuisé
106,Magret de canard,Végétarienne,Plat,Épicé,"poisson, citron, beurre",Recette maison inspirée des saveurs de Grèce.,59.31,524,Grèce,Épuisé
107,Paella valenciana,Maison,Plat,Sans gluten,"boeuf, frites, sauce",Paella valenciana plat préparé(e) selon une recette traditionnelle de Italie.,34.67,804,Italie,Épuisé
108,Spaghetti bolognaise,Végétarienne,Plat,Classique,"semoule, agneau, pois chiches, légumes",Version équilibrée du classique Spaghetti bolognaise.,45.3,737,Tunisie,Épuisé
109,Ratatouille provençale,Maison,Plat,Sans gluten,"riz, fruits de mer, poivrons",Une spécialité espagne mettant en valeur des ingrédients frais et de qualité.,44.32,678,Espagne,Épuisé
110,Tajine d'agneau,Épicée,Plat,Végétarien,"poulet, herbes, légumes",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,54.96,610,Grèce,Disponible
111,Spaghetti bolognaise,Traditionnelle,Plat,Gourmet,"riz, fruits de mer, poivrons",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,42.34,418,Suisse,Disponible
112,Paella valenciana,Épicée,Plat,Classique,"pâtes, champignons, crème",Paella valenciana plat préparé(e) selon une recette traditionnelle de Suisse.,43.41,633,Suisse,Disponible
113,Magret de canard,Maison,Plat,Sans gluten,"semoule, agneau, pois chiches, légumes",Magret de canard plat préparé(e) selon une recette traditionnelle de Suisse.,41.43,896,Suisse,Épuisé
114,Spaghetti bolognaise,Légère,Plat,Gourmet,"pâtes, champignons, crème",Version équilibrée du classique Spaghetti bolognaise.,38.3,562,France,Non disponible
115,Magret de canard,Traditionnelle,Plat,Épicé,"boeuf, frites, sauce",Un(e) plat populaire apprécié(e) pour sa saveur authentique.,47.09,871,France,Épuisé
116,Couscous royal,Chef's Special,Plat,Sans gluten,"pâtes, champignons, crème",Recette maison inspirée des saveurs de France.,30.82,553,France,Disponible
117,Steak frites,Épicée,Plat,Classique,"poisson, citron, beurre",Recette maison inspirée des saveurs de Tunisie.,30.09,671,Tunisie,Épuisé
118,Filet de dorade,Maison,Plat,Végétarien,"pâtes, viande hachée, sauce tomate, fromage",Version moderne du classique Filet de dorade.,48.91,654,Italie,Non disponible
119,Lasagnes,Signature,Plat,Sans gluten,"poisson, citron, beurre",Une spécialité grèce mettant en valeur des ingrédients frais et de qualité.,48.34,860,Grèce,Épuisé
120,Pizza Margherita,Maison,Plat,Classique,"poisson, citron, beurre",Recette maison inspirée des saveurs de Maroc.,49.16,633,Maroc,Épuisé
121,Couscous royal,Légère,Plat,Sans gluten,"poulet, herbes, légumes",Version moderne du classique Couscous royal.,37.56,551,France,Non disponible
122,Pizza Margherita,Classique,Plat,Gourmet,"poisson, citron, beurre",Version raffinée du classique Pizza Margherita.,55.28,798,Maroc,Non disponible
123,Steak frites,Traditionnelle,Plat,Vegan,"pâtes, champignons, crème",Version gourmande du classique Steak frites.,53.07,512,Suisse,Non disponible
124,Couscous royal,Végétarienne,Plat,Gourmet,"semoule, agneau, pois chiches, légumes",Couscous royal plat préparé(e) selon une recette traditionnelle de Suisse.,56.62,730,Suisse,Disponible
125,Pizza Margherita,Traditionnelle,Plat,Classique,"poisson, citron, beurre",Pizza Margherita plat préparé(e) selon une recette traditionnelle de Espagne.,56.84,567,Espagne,Non disponible
126,Macarons assortis,Maison,Dessert,Végétarien,"caramel, lait, beurre",Version équilibrée du classique Macarons assortis.,14.02,339,Italie,Disponible
127,Tiramisu,Traditionnelle,Dessert,Vegan,"crème, vanille, œufs",Recette maison inspirée des saveurs de Grèce.,19.55,272,Grèce,Disponible
128,Sorbet citron,Légère,Dessert,Épicé,"chocolat noir, œufs, sucre",Sorbet citron dessert préparé(e) selon une recette traditionnelle de Tunisie.,11.17,263,Tunisie,Épuisé
129,Fondant au chocolat,Végétarienne,Dessert,Épicé,"citron, sucre, meringue",Fondant au chocolat dessert préparé(e) selon une recette traditionnelle de Maroc.,16.1,441,Maroc,Disponible
130,Coulant au caramel,Épicée,Dessert,Épicé,"citron, sucre, meringue",Recette maison inspirée des saveurs de Italie.,18.91,354,Italie,Non disponible
131,Macarons assortis,Chef's Special,Dessert,Végétarien,"chocolat noir, œufs, sucre",Recette maison inspirée des saveurs de France.,9.39,320,France,Non disponible
132,Mousse au chocolat,Légère,Dessert,Sans gluten,"citron, sucre, meringue",Version moderne du classique Mousse au chocolat.,16.91,279,Tunisie,Épuisé
133,Sorbet citron,Chef's Special,Dessert,Sans gluten,"fraise, mascarpone, biscuits",Sorbet citron dessert préparé(e) selon une recette traditionnelle de Espagne.,16.28,311,Espagne,Épuisé
134,Gâteau au fromage,Signature,Dessert,Vegan,"citron, sucre, meringue",Version équilibrée du classique Gâteau au fromage.,18.82,383,France,Disponible
135,Macarons assortis,Végétarienne,Dessert,Végétarien,"fraise, mascarpone, biscuits",Un(e) dessert populaire apprécié(e) pour sa saveur authentique.,15.7,210,France,Disponible
136,Fondant au chocolat,Signature,Dessert,Végétarien,"caramel, lait, beurre",Fondant au chocolat dessert préparé(e) selon une recette traditionnelle de Suisse.,17.96,483,Suisse,Disponible
137,Coulant au caramel,Signature,Dessert,Végétarien,"pommes, sucre, pâte feuilletée, beurre",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,18.3,274,Tunisie,Disponible
138,Île flottante,Végétarienne,Dessert,Végétarien,"citron, sucre, meringue",Un(e) dessert populaire apprécié(e) pour sa saveur authentique.,8.18,321,France,Non disponible
139,Fondant au chocolat,Classique,Dessert,Végétarien,"chocolat noir, œufs, sucre",Recette maison inspirée des saveurs de Tunisie.,14.31,232,Tunisie,Épuisé
140,Gâteau au fromage,Épicée,Dessert,Épicé,"chocolat noir, œufs, sucre",Version moderne du classique Gâteau au fromage.,10.66,222,Espagne,Non disponible
141,Sorbet citron,Végétarienne,Dessert,Sans gluten,"chocolat noir, œufs, sucre",Recette maison inspirée des saveurs de Grèce.,18.17,418,Grèce,Non disponible
142,Crème brûlée,Traditionnelle,Dessert,Gourmet,"chocolat noir, œufs, sucre",Une spécialité maroc mettant en valeur des ingrédients frais et de qualité.,15.3,233,Maroc,Disponible
143,Tiramisu,Épicée,Dessert,Sans gluten,"caramel, lait, beurre",Recette maison inspirée des saveurs de Espagne.,14.07,420,Espagne,Disponible
144,Tarte aux fraises,Chef's Special,Dessert,Gourmet,"caramel, lait, beurre",Recette maison inspirée des saveurs de Grèce.,13.42,316,Grèce,Épuisé
145,Fondant au chocolat,Traditionnelle,Dessert,Sans gluten,"citron, sucre, meringue",Une spécialité maroc mettant en valeur des ingrédients frais et de qualité.,13.12,330,Maroc,Épuisé
146,Mousse au chocolat,Traditionnelle,Dessert,Classique,"chocolat noir, œufs, sucre",Recette maison inspirée des saveurs de France.,9.16,390,France,Disponible
147,Île flottante,Classique,Dessert,Épicé,"caramel, lait, beurre",Île flottante dessert préparé(e) selon une recette traditionnelle de Espagne.,12.93,416,Espagne,Non disponible
148,Tarte Tatin,Végétarienne,Dessert,Épicé,"crème, vanille, œufs",Version raffinée du classique Tarte Tatin.,14.09,279,Tunisie,Non disponible
149,Gâteau au fromage,Signature,Dessert,Classique,"caramel, lait, beurre",Gâteau au fromage dessert préparé(e) selon une recette traditionnelle de Tunisie.,17.15,493,Tunisie,Disponible
150,Macarons assortis,Classique,Dessert,Épicé,"citron, sucre, meringue",Macarons assortis dessert préparé(e) selon une recette traditionnelle de Grèce.,10.16,358,Grèce,Épuisé
151,Fondant au chocolat,Classique,Dessert,Végétarien,"pommes, sucre, pâte feuilletée, beurre",Fondant au chocolat dessert préparé(e) selon une recette traditionnelle de Suisse.,9.7,215,Suisse,Disponible
152,Tarte aux fraises,Signature,Dessert,Sans gluten,"fraise, mascarpone, biscuits",Un(e) dessert populaire apprécié(e) pour sa saveur authentique.,12.44,366,Maroc,Non disponible
153,Coulant au caramel,Chef's Special,Dessert,Classique,"pommes, sucre, pâte feuilletée, beurre",Coulant au caramel dessert préparé(e) selon une recette traditionnelle de Italie.,11.27,417,Italie,Épuisé
154,Coulant au caramel,Traditionnelle,Dessert,Sans gluten,"pommes, sucre, pâte feuilletée, beurre",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,13.16,345,Tunisie,Non disponible
155,Sorbet citron,Traditionnelle,Dessert,Épicé,"crème, vanille, œufs",Un(e) dessert populaire apprécié(e) pour sa saveur authentique.,12.74,228,Grèce,Disponible
156,Panna cotta,Végétarienne,Dessert,Végétarien,"pommes, sucre, pâte feuilletée, beurre",Une spécialité suisse mettant en valeur des ingrédients frais et de qualité.,11.94,203,Suisse,Épuisé
157,Tarte aux fraises,Légère,Dessert,Végétarien,"fraise, mascarpone, biscuits",Version gourmande du classique Tarte aux fraises.,14.7,381,Italie,Disponible
158,Macarons assortis,Classique,Dessert,Sans gluten,"fraise, mascarpone, biscuits",Une spécialité france mettant en valeur des ingrédients frais et de qualité.,14.91,493,France,Épuisé
159,Tarte aux fraises,Légère,Dessert,Vegan,"fraise, mascarpone, biscuits",Une spécialité france mettant en valeur des ingrédients frais et de qualité.,10.06,435,France,Non disponible
160,Fondant au chocolat,Chef's Special,Dessert,Sans gluten,"chocolat noir, œufs, sucre",Recette maison inspirée des saveurs de Suisse.,15.07,468,Suisse,Disponible
161,Macarons assortis,Végétarienne,Dessert,Gourmet,"pommes, sucre, pâte feuilletée, beurre",Un(e) dessert populaire apprécié(e) pour sa saveur authentique.,8.92,258,Tunisie,Non disponible
162,Île flottante,Signature,Dessert,Vegan,"citron, sucre, meringue",Un(e) dessert populaire apprécié(e) pour sa saveur authentique.,9.23,331,Tunisie,Disponible
163,Mousse au chocolat,Maison,Dessert,Gourmet,"pommes, sucre, pâte feuilletée, beurre",Recette maison inspirée des saveurs de France.,17.05,496,France,Épuisé
164,Sorbet citron,Épicée,Dessert,Gourmet,"pommes, sucre, pâte feuilletée, beurre",Sorbet citron dessert préparé(e) selon une recette traditionnelle de Tunisie.,13.63,355,Tunisie,Épuisé
